january,february,march,april,may,june,july,august,september,october,november,december
-6,4.0,12,20.0,20,25.0,29,32,26.0,24,5.0,1
-10,10.0,7,10.0,20,16.0,29,22,26.0,24,8.0,1
-13,10.0,9,15.0,19,19.0,28,26,26.0,15,6.0,0
-10,4.0,8,22.0,19,22.0,22,29,28.0,15,5.0,-1
-6,3.0,12,23.0,18,24.0,24,31,24.0,8,8.0,0
-3,4.0,14,25.0,19,18.0,25,26,27.0,11,11.0,0
-2,5.0,14,23.0,15,16.0,19,24,27.0,10,11.0,-2
-1,7.0,11,25.0,16,20.0,23,26,29.0,12,7.0,2
3,12.0,10,20.0,17,23.0,23,29,28.0,11,5.0,4
1,9.0,10,17.0,19,19.0,22,28,29.0,11,4.0,7
4,5.0,7,15.0,20,20.0,29,16,30.0,9,7.0,6
5,7.0,8,19.0,21,17.0,32,17,29.0,6,4.0,5
4,6.0,6,20.0,17,18.0,33,21,28.0,5,1.0,-4
1,9.0,5,21.0,19,20.0,33,26,24.0,9,-1.0,-1
-1,13.0,4,14.0,16,25.0,22,23,24.0,6,-1.0,1
-1,7.0,6,20.0,15,26.0,23,23,26.0,5,0.0,-3
-6,6.0,9,24.0,14,34.0,23,22,28.0,9,1.0,-1
-5,8.0,12,20.0,11,26.0,20,22,16.0,9,3.0,-1
-5,7.0,5,14.0,16,26.0,19,27,14.0,9,7.0,1
-7,4.0,8,12.0,19,31.0,22,28,15.0,9,7.0,1
-4,6.0,7,13.0,21,28.0,23,30,13.0,10,6.0,1
-3,13.0,8,18.0,23,29.0,25,25,12.0,11,4.0,2
-5,13.0,8,17.0,23,30.0,26,22,16.0,12,5.0,1
-5,6.0,3,17.0,21,30.0,28,24,19.0,10,7.0,1
1,6.0,6,7.0,19,28.0,28,24,16.0,13,5.0,2
2,4.0,9,10.0,20,30.0,30,25,16.0,9,6.0,3
5,4.0,9,16.0,23,21.0,30,28,16.0,6,6.0,3
7,10.0,11,14.0,25,19.0,32,30,19.0,9,1.0,1
4,8.0,13,18.0,26,25.0,28,31,21.0,9,-1.0,-1
7,,14,15.0,26,28.0,28,24,25.0,7,2.0,-2
8,,18,,22,,31,22,,5,,2
