january,february,march,april,may,june,july,august,september,october,november,december
-4,7.0,14,26.0,22,28.0,33,35,27.0,24,8.0,2
-8,13.0,18,20.0,21,23.0,31,34,27.0,24,14.0,4
-10,14.0,9,15.0,17,22.0,32,30,31.0,23,11.0,8
-1,6.0,8,16.0,13,24.0,28,32,31.0,22,11.0,5
1,6.0,9,17.0,17,26.0,28,32,32.0,17,12.0,2
3,5.0,14,21.0,20,25.0,29,34,29.0,17,16.0,7
4,6.0,16,25.0,20,20.0,27,34,33.0,18,21.0,2
4,6.0,17,18.0,20,20.0,27,32,31.0,14,13.0,5
9,10.0,11,22.0,19,21.0,29,31,32.0,15,13.0,10
5,10.0,10,15.0,20,23.0,27,33,32.0,16,10.0,12
14,11.0,7,17.0,23,25.0,28,35,32.0,16,10.0,15
13,9.0,7,20.0,22,24.0,29,20,29.0,18,15.0,9
10,9.0,11,24.0,22,26.0,30,25,32.0,11,13.0,4
9,17.0,7,24.0,24,25.0,32,28,32.0,11,3.0,3
9,19.0,6,17.0,24,27.0,33,31,27.0,14,4.0,3
7,19.0,8,23.0,21,30.0,34,32,28.0,11,5.0,-2
1,10.0,12,29.0,18,30.0,32,30,31.0,11,9.0,2
-5,11.0,16,29.0,18,30.0,30,29,27.0,11,13.0,3
-2,5.0,9,23.0,18,30.0,26,29,22.0,10,12.0,1
-4,6.0,10,15.0,21,31.0,28,34,15.0,13,10.0,2
-6,7.0,16,17.0,24,34.0,29,36,18.0,13,6.0,1
-2,19.0,13,20.0,25,35.0,30,36,18.0,16,7.0,2
-3,23.0,9,20.0,26,35.0,32,32,19.0,13,7.0,3
-5,16.0,8,18.0,25,32.0,31,31,22.0,11,5.0,2
-4,10.0,7,18.0,19,31.0,32,29,18.0,11,5.0,0
2,8.0,10,12.0,20,32.0,33,29,20.0,11,6.0,5
5,9.0,11,16.0,21,33.0,33,28,20.0,8,7.0,4
10,9.0,14,21.0,25,29.0,33,33,20.0,9,7.0,6
8,9.0,16,20.0,25,27.0,34,31,23.0,13,3.0,2
4,,19,20.0,28,31.0,34,31,26.0,11,0.0,1
10,,23,,29,,35,27,,12,,2
