january,february,march,april,may,june,july,august,september,october,november,december
-11,4,11,19,18,18,30,33,23,23,4,-5
-13,3,12,11,21,22,30,33,24,23,4,-0
-15,6,10,12,20,23,31,32,25,25,8,-1
-16,4,10,15,20,25,32,30,28,23,6,-2
-9,2,9,17,23,28,26,31,30,19,7,-4
-5,3,7,19,16,24,27,35,32,17,8,-1
-1,3,11,22,19,19,28,35,25,19,19,-4
2,5,10,25,24,18,26,31,28,18,14,0
1,4,15,27,25,22,27,29,26,15,15,4
0,7,6,23,26,25,29,32,24,14,16,4
-3,3,11,24,25,25,28,32,26,16,7,3
6,8,9,22,20,20,32,33,28,11,8,4
6,4,10,23,22,21,35,25,30,7,7,-7
4,11,4,21,20,28,37,19,21,10,6,-3
1,10,5,17,21,28,37,27,17,7,1,-2
2,18,8,16,23,27,39,28,21,10,0,-10
2,6,6,23,24,30,40,30,19,9,-2,-6
3,4,8,25,21,32,39,31,17,8,3,-2
3,0,5,19,21,33,26,28,20,5,0,-2
-3,2,2,17,19,32,24,30,11,6,1,-0
-1,2,1,13,22,31,27,33,12,7,1,-5
-4,7,7,15,24,33,23,36,17,10,3,-2
-9,13,11,17,23,31,23,33,18,8,2,-2
-10,9,11,21,24,30,24,28,14,9,2,-1
-10,7,11,18,27,30,28,22,12,5,-2,-1
-8,8,3,16,27,32,30,21,13,5,2,-1
-1,7,3,18,26,35,32,27,14,5,6,1
2,5,5,16,27,34,33,31,12,5,7,2
5,10,13,20,26,29,33,31,14,5,0,2
4,,16,15,27,28,34,33,14,7,-3,-1
5,,15,,24,,33,20,,5,,-4
