january,february,march,april,may,june,july,august,september,october,november,december
-7,4,9,25,21,25,30,36,27,23,6,3
-9,5,6,11,20,22,31,27,29,25,7,3
-13,9,7,15,20,22,32,24,29,17,7,2
-10,4,7,19,21,25,24,30,30,16,6,-0
-6,4,9,24,21,25,25,30,30,11,7,-3
-2,4,12,25,19,20,28,32,30,13,11,1
0,4,17,24,15,17,21,26,30,13,16,-0
-1,4,16,24,19,22,24,26,31,13,7,3
0,7,9,22,18,25,25,29,30,12,6,6
1,9,13,21,21,24,23,30,30,12,4,9
3,7,6,19,22,21,30,19,32,10,7,10
7,9,8,20,22,18,34,19,31,9,5,8
6,5,7,20,18,20,32,23,31,5,5,-5
3,11,5,21,22,21,32,28,27,10,-1,-1
1,15,5,16,18,24,25,24,25,6,1,1
2,11,7,23,13,27,29,23,28,7,1,-4
-2,6,11,25,15,30,32,26,29,11,1,-0
-4,6,13,26,13,27,20,24,18,10,6,-2
-4,5,6,14,16,27,22,28,15,9,9,2
-4,2,9,14,21,29,24,30,16,7,9,2
-2,4,8,13,23,30,26,31,16,8,6,2
-4,18,9,20,23,32,27,28,14,9,4,-2
-2,13,7,19,24,31,27,27,16,9,4,1
-7,7,5,21,24,30,30,25,20,8,3,1
-0,7,4,11,17,30,32,26,16,8,4,4
2,5,10,9,23,31,33,27,16,6,5,3
4,6,10,17,25,31,33,31,16,7,4,6
11,6,14,17,27,25,34,32,18,8,2,3
7,8,15,21,26,27,32,33,21,12,1,0
7,,16,22,27,28,31,26,26,8,0,-2
8,,21,,25,,33,25,,7,,3
