january,february,march,april,may,june,july,august,september,october,november,december
-9,6,8,20,19,22,30,33,24,26,1,0
15,6,8,8,21,21,31,28,27,19,4,-0
-13,10,3,13,21,24,30,26,26,24,8,-1
-12,4,1,17,21,25,23,29,28,21,5,-3
-11,3,1,19,22,26,24,31,30,14,7,-3
-7,2,11,21,16,20,27,32,26,13,12,-1
-5,3,13,19,15,16,20,24,26,11,14,-5
-5,4,15,25,20,20,23,25,27,9,8,4
1,3,10,21,22,23,24,28,25,7,6,6
1,5,15,23,24,23,23,30,26,9,5,7
-3,5,7,21,23,21,27,31,29,9,2,6
3,6,10,19,23,20,31,16,29,9,3,5
3,1,8,17,23,21,31,19,28,6,0,-3
2,4,2,20,15,25,32,24,21,8,0,-2
1,12,2,13,18,23,32,24,20,6,-0,-2
2,10,7,17,18,26,29,24,24,9,-3,-4
-4,4,5,24,13,28,36,25,19,10,-0,-1
-7,5,9,22,17,26,26,19,18,9,5,-1
-5,3,0,16,14,28,23,24,17,7,7,1
-5,0,2,13,16,29,23,27,12,6,5,1
-5,2,5,8,21,32,17,28,14,5,0,0
-6,11,7,17,22,28,22,29,13,9,-1,3
-8,11,5,14,22,29,26,31,14,6,-0,2
-9,7,2,20,22,28,27,24,18,7,0,1
-6,4,2,21,21,30,29,23,16,8,2,2
-4,4,8,13,23,31,31,24,16,4,3,4
3,3,9,14,26,31,32,28,12,3,8,4
7,3,10,20,23,30,32,32,16,7,3,3
5,7,11,19,25,27,34,32,19,9,-1,-0
8,,13,19,25,29,29,28,26,7,-2,-0
4,,16,,26,,31,21,,4,,3
