january,february,march,april,may,june,july,august,september,october,november,december
-7,3.0,14,24.0,21,27.0,30,34,27.0,24,8.0,3
-9,12.0,7,11.0,20,18.0,31,22,27.0,24,12.0,5
-12,14.0,7,15.0,19,17.0,31,26,27.0,18,6.0,2
-10,3.0,5,22.0,19,23.0,24,30,29.0,17,7.0,1
-6,3.0,9,26.0,18,25.0,25,32,28.0,8,8.0,2
-5,6.0,13,26.0,20,19.0,27,28,23.0,13,17.0,4
-3,5.0,15,23.0,14,17.0,21,24,26.0,11,17.0,1
1,4.0,13,21.0,15,21.0,25,26,29.0,12,5.0,7
4,13.0,11,21.0,17,24.0,25,29,28.0,12,6.0,12
0,8.0,9,18.0,20,22.0,23,30,30.0,13,5.0,11
2,8.0,6,11.0,22,18.0,30,17,30.0,8,9.0,11
9,10.0,6,14.0,22,16.0,33,15,30.0,7,1.0,8
5,7.0,8,21.0,16,18.0,33,22,29.0,5,0.0,-3
2,11.0,5,18.0,19,22.0,32,27,26.0,9,-1.0,2
-1,12.0,4,15.0,17,25.0,23,23,25.0,5,1.0,1
2,8.0,6,22.0,11,27.0,23,22,28.0,5,-2.0,-1
-5,6.0,11,25.0,13,34.0,19,22,28.0,9,0.0,1
-5,7.0,15,22.0,11,26.0,20,23,18.0,8,3.0,-1
-4,6.0,6,12.0,16,26.0,21,27,15.0,8,5.0,2
-5,3.0,10,13.0,20,31.0,23,30,14.0,8,7.0,3
-2,7.0,9,14.0,22,29.0,26,30,15.0,8,4.0,2
-3,18.0,9,20.0,24,29.0,27,24,14.0,11,3.0,5
-1,15.0,8,18.0,24,29.0,27,19,16.0,9,2.0,4
-5,8.0,2,18.0,25,29.0,29,24,21.0,8,1.0,1
4,7.0,4,5.0,18,28.0,31,26,14.0,10,3.0,6
4,3.0,8,10.0,22,31.0,31,26,16.0,8,2.0,3
11,4.0,10,16.0,25,24.0,32,29,17.0,6,6.0,7
12,9.0,12,15.0,27,21.0,32,31,19.0,10,2.0,3
7,7.0,14,18.0,27,25.0,30,32,23.0,12,2.0,-1
13,,18,15.0,28,28.0,29,23,27.0,10,1.0,-2
11,,21,,23,,31,23,,7,,5
