january,february,march,april,may,june,july,august,september,october,november,december
-9,3.0,10,16.0,18,22.0,29,32,23.0,25,1.0,-1
-14,4.0,8,7.0,20,21.0,29,31,25.0,22,2.0,-1
-15,7.0,6,11.0,21,22.0,29,25,26.0,24,7.0,-2
-15,3.0,5,16.0,21,24.0,25,26,27.0,21,5.0,-4
-13,1.0,2,18.0,22,26.0,24,28,30.0,17,7.0,-5
-7,1.0,7,18.0,18,19.0,26,32,26.0,14,11.0,-2
-5,2.0,12,20.0,16,16.0,21,32,24.0,11,16.0,-6
-3,1.0,12,24.0,20,19.0,22,24,26.0,12,8.0,2
-2,1.0,12,22.0,23,22.0,25,26,24.0,14,9.0,4
0,3.0,13,23.0,22,22.0,24,28,24.0,8,11.0,5
-3,2.0,10,20.0,22,18.0,26,31,27.0,11,1.0,4
3,7.0,12,21.0,23,19.0,30,21,28.0,9,4.0,3
2,1.0,7,23.0,22,18.0,31,15,28.0,5,2.0,-3
1,6.0,3,21.0,15,25.0,32,20,20.0,8,0.0,-3
0,7.0,3,15.0,17,23.0,34,23,20.0,7,-2.0,-4
1,9.0,7,15.0,19,25.0,33,23,22.0,8,-1.0,-6
-2,4.0,4,23.0,16,28.0,34,24,18.0,8,1.0,-3
-7,2.0,8,24.0,18,29.0,33,28,17.0,8,4.0,-1
-5,0.0,1,16.0,16,27.0,19,28,17.0,5,5.0,1
-6,0.0,1,13.0,15,29.0,23,27,13.0,5,3.0,1
-8,2.0,4,9.0,20,31.0,22,28,14.0,6,2.0,-1
-8,8.0,9,17.0,22,32.0,19,29,12.0,10,-3.0,-1
-9,11.0,6,15.0,21,28.0,25,33,14.0,7,-1.0,-4
-12,6.0,2,20.0,20,27.0,27,27,18.0,5,-5.0,0
-10,5.0,1,20.0,23,29.0,28,21,17.0,6,0.0,0
-7,4.0,8,14.0,24,29.0,29,24,13.0,4,1.0,0
0,3.0,8,12.0,22,31.0,29,27,12.0,5,3.0,4
4,5.0,4,18.0,23,31.0,31,30,15.0,6,3.0,1
4,6.0,8,21.0,23,27.0,32,31,16.0,8,0.0,1
3,,10,19.0,24,27.0,30,32,22.0,5,-7.0,-1
2,,13,,25,,29,21,,3,,-2
