january,february,march,april,may,june,july,august,september,october,november,december
-9,2.0,6,11.0,20,22.0,32,32,25.0,26,4.0,2
-12,10.0,4,10.0,20,23.0,33,27,26.0,24,8.0,1
-13,8.0,5,14.0,20,22.0,32,28,26.0,16,4.0,1
-10,3.0,3,19.0,22,25.0,24,31,29.0,15,5.0,0
-7,2.0,6,23.0,22,25.0,23,33,23.0,9,5.0,-2
-2,5.0,11,26.0,20,19.0,25,32,25.0,12,9.0,1
-4,6.0,10,18.0,15,18.0,18,24,26.0,10,9.0,-2
-1,9.0,9,21.0,18,22.0,23,27,27.0,12,7.0,5
1,13.0,8,21.0,20,23.0,19,31,27.0,10,5.0,6
-1,8.0,10,21.0,21,21.0,23,30,29.0,9,1.0,9
3,6.0,8,18.0,23,20.0,30,18,30.0,8,3.0,9
3,7.0,8,17.0,20,20.0,33,22,30.0,10,3.0,5
2,4.0,6,16.0,23,22.0,33,24,28.0,8,-2.0,-3
1,9.0,8,19.0,16,19.0,33,25,23.0,11,1.0,1
0,15.0,5,15.0,16,21.0,21,22,24.0,6,2.0,1
-1,8.0,7,17.0,14,26.0,26,23,25.0,8,1.0,-2
-9,5.0,9,24.0,15,33.0,28,17,23.0,10,2.0,-2
-4,7.0,9,16.0,13,27.0,20,22,19.0,11,7.0,-2
-4,6.0,2,13.0,16,29.0,21,26,18.0,10,10.0,1
-5,3.0,6,11.0,20,30.0,23,28,15.0,9,8.0,1
-4,3.0,7,14.0,23,23.0,22,31,14.0,7,5.0,2
-6,12.0,6,14.0,23,28.0,23,30,12.0,8,2.0,2
-4,8.0,5,14.0,25,29.0,27,22,16.0,10,4.0,1
-4,4.0,1,15.0,23,30.0,29,24,18.0,7,6.0,1
1,5.0,7,7.0,23,31.0,30,25,15.0,10,5.0,2
3,3.0,10,10.0,23,32.0,31,26,15.0,8,5.0,5
4,4.0,11,17.0,25,27.0,32,30,11.0,8,6.0,5
7,7.0,13,13.0,27,23.0,33,32,17.0,8,1.0,3
5,7.0,14,17.0,27,27.0,31,32,20.0,9,-1.0,0
8,,15,15.0,26,30.0,30,24,26.0,6,1.0,0
5,,14,,20,,32,23,,7,,2
