january,february,march,april,may,june,july,august,september,october,november,december
-9,3,9,11,19,22,30,32,23,25,2,0
-14,5,9,8,21,21,30,30,25,23,2,0
-16,9,3,12,22,23,30,25,26,24,8,-2
-13,3,1,17,23,25,23,28,27,23,5,-4
-12,3,2,18,22,24,23,30,30,17,7,-3
-7,4,8,20,16,18,27,31,25,13,10,0
-5,3,13,20,19,16,21,30,24,12,13,-7
-5,3,13,25,23,19,23,24,25,9,7,4
-2,2,13,22,24,24,25,27,24,13,7,6
-1,4,14,23,25,23,25,29,24,10,5,6
-4,4,11,22,25,21,27,31,26,10,1,4
3,5,11,22,25,20,32,16,28,8,2,-2
2,2,7,20,22,22,32,19,26,9,0,-3
1,6,4,20,15,25,32,23,20,5,-1,-4
1,11,4,10,16,21,35,21,18,7,-0,-4
2,10,8,15,19,26,30,24,23,7,-1,-7
-3,4,5,22,12,28,34,25,18,7,0,-1
-8,4,8,21,18,27,26,24,17,9,4,-1
-5,3,1,16,14,27,20,27,16,6,6,1
-5,1,3,14,11,28,23,26,14,5,4,1
-9,1,3,9,20,32,19,27,14,5,1,-0
-9,8,8,16,22,25,22,30,12,11,-2,-1
-9,10,3,13,22,29,27,29,14,7,-3,-1
-11,6,2,20,21,28,28,22,18,7,-1,1
-8,3,5,19,22,29,29,24,16,7,2,1
-6,2,9,14,25,31,30,24,15,4,3,2
2,2,11,12,26,31,32,28,14,4,6,3
5,3,9,20,23,31,32,31,15,6,3,2
5,6,8,19,27,27,32,31,17,10,-3,1
5,,14,19,26,28,29,30,24,5,-5,-1
3,,15,,26,,31,20,,3,,1
