january,february,march,april,may,june,july,august,september,october,november,december
-5,6.0,9,21.0,17,25.0,32,29,22.0,20,6.0,2
-8,8.0,14,18.0,18,19.0,29,32,24.0,18,11.0,4
-10,12.0,7,13.0,18,18.0,29,27,26.0,19,10.0,4
-5,5.0,6,10.0,16,23.0,30,28,29.0,20,10.0,3
0,4.0,7,10.0,16,26.0,28,30,26.0,18,11.0,0
0,3.0,7,11.0,19,25.0,26,34,27.0,14,13.0,6
3,2.0,8,12.0,18,21.0,25,37,28.0,14,17.0,1
0,4.0,8,16.0,17,18.0,27,30,29.0,14,13.0,4
5,6.0,11,14.0,20,19.0,25,28,27.0,15,14.0,8
3,6.0,9,15.0,22,20.0,27,30,26.0,16,14.0,9
4,10.0,5,11.0,20,21.0,26,32,25.0,14,8.0,12
9,8.0,8,17.0,20,21.0,27,25,27.0,14,11.0,9
9,6.0,12,16.0,16,20.0,28,24,28.0,12,12.0,0
7,13.0,6,14.0,25,22.0,28,27,29.0,11,2.0,0
5,9.0,5,17.0,23,23.0,31,27,21.0,8,1.0,0
6,19.0,7,15.0,20,28.0,29,25,25.0,9,0.0,-3
2,7.0,11,20.0,15,26.0,32,25,25.0,9,7.0,-2
-6,3.0,16,27.0,16,25.0,30,26,22.0,12,10.0,-1
-3,4.0,9,21.0,18,26.0,26,28,19.0,8,9.0,1
-2,1.0,10,16.0,21,31.0,28,30,14.0,8,5.0,2
-6,2.0,13,13.0,20,33.0,28,31,16.0,9,4.0,0
-2,11.0,10,16.0,24,32.0,31,30,17.0,10,4.0,3
-5,10.0,8,12.0,23,31.0,26,32,18.0,9,2.0,-2
-6,11.0,12,13.0,20,30.0,32,30,19.0,9,3.0,1
-5,8.0,7,11.0,18,31.0,28,27,19.0,9,7.0,1
-4,5.0,7,14.0,19,30.0,29,28,19.0,8,4.0,3
1,9.0,11,17.0,20,32.0,31,27,20.0,8,8.0,3
8,6.0,13,14.0,19,32.0,31,31,18.0,7,5.0,5
8,6.0,12,14.0,27,29.0,30,30,22.0,12,2.0,2
6,,13,20.0,23,31.0,34,28,20.0,10,-1.0,1
6,,15,,25,,31,27,,9,,0
