january,february,march,april,may,june,july,august,september,october,november,december
-3,2,12,21,21,26,31,30,27,23,8,-1
-6,3,3,13,19,18,31,21,27,22,10,2
-6,9,13,19,20,17,27,26,26,13,9,-1
-6,5,15,23,16,26,24,28,27,16,5,-1
-4,5,12,23,20,26,25,30,23,9,7,-3
0,3,13,25,20,21,22,31,26,7,15,-2
2,8,16,25,15,20,21,22,28,11,15,-0
-0,12,10,23,15,22,23,27,29,12,8,-3
3,8,13,23,20,24,22,28,30,10,6,1
8,9,14,21,18,18,25,29,30,12,5,1
10,6,11,17,22,20,28,18,30,9,8,4
10,8,10,15,24,19,32,17,31,8,5,5
5,6,8,29,19,21,32,21,28,6,2,-3
2,7,5,19,14,20,32,22,28,13,2,-6
3,8,4,14,20,24,26,24,26,13,3,-3
-1,8,9,19,11,26,23,23,26,10,1,-2
-5,8,12,24,11,32,20,21,27,8,3,-4
-4,11,9,24,13,26,21,24,26,12,9,-4
-5,7,7,14,17,30,20,27,20,15,12,-3
-6,4,8,12,21,29,23,29,16,16,11,-0
-3,2,8,12,24,30,23,30,14,18,9,-2
-2,14,6,18,24,32,27,29,16,11,7,-2
-4,11,4,19,27,33,28,25,14,14,8,-2
-5,6,5,20,23,32,31,26,19,13,6,-5
-3,6,9,9,19,32,30,24,17,14,7,-4
4,4,7,8,23,31,30,26,15,12,10,1
2,6,10,16,25,28,30,29,20,10,5,2
4,13,10,15,28,24,30,30,20,10,3,1
3,12,10,19,30,26,24,30,21,7,-1,-1
3,,13,13,29,28,28,26,24,8,-1,-2
7,,17,,25,,30,25,,7,,-4
