january,february,march,april,may,june,july,august,september,october,november,december
-9,2,6,15,21,21,30,32,25,25,3,1
-13,10,5,10,19,22,32,25,28,25,7,-1
-13,7,4,14,20,22,31,28,25,19,4,-0
-12,2,1,19,21,24,23,30,29,14,3,-2
-8,2,5,22,21,25,24,32,25,8,3,-2
-4,3,10,26,20,17,26,32,28,12,9,-1
-4,5,10,17,14,18,19,24,27,9,11,-4
-2,5,9,23,18,21,22,26,28,13,6,3
1,11,9,22,20,23,20,30,27,10,4,5
-2,7,9,22,22,21,22,31,29,7,2,8
3,7,6,22,23,19,29,19,31,8,3,8
4,7,9,19,20,20,33,21,31,11,1,4
1,3,5,17,22,22,34,23,28,9,-2,-5
1,7,8,20,19,20,33,26,23,10,-1,-0
-0,14,3,13,16,21,21,22,23,3,0,-0
-1,7,7,17,13,25,26,23,25,7,1,-3
-11,4,8,24,15,33,30,21,22,9,-0,-3
-6,5,8,16,13,27,20,22,18,9,5,-2
-5,5,0,13,14,29,21,25,19,10,6,0
-6,2,5,11,19,30,22,28,13,8,7,1
-5,3,6,12,22,27,20,30,14,6,5,2
-8,12,7,14,22,28,20,30,12,7,1,1
-5,10,5,14,24,30,26,25,14,7,2,-1
-6,2,0,15,23,31,28,25,18,7,4,-0
-0,4,6,7,20,31,30,25,15,8,3,1
1,3,10,8,24,33,31,27,14,7,4,3
3,4,11,16,26,30,32,31,11,7,6,3
8,5,12,13,27,24,33,33,16,8,1,1
4,6,15,18,26,27,31,33,20,8,-1,-1
8,,14,17,25,29,29,24,27,5,-0,-0
5,,14,,22,,31,22,,5,,0
