january,february,march,april,may,june,july,august,september,october,november,december
-11,1,7,10,16,20,28,31,22,24,0,-3
-13,3,9,7,19,20,29,31,24,23,2,-1
-15,5,5,10,20,21,29,25,25,23,5,-4
-15,3,6,15,21,24,29,27,26,20,3,-3
-13,1,6,15,21,25,23,28,28,20,4,-6
-9,1,1,18,17,18,24,33,23,15,8,-2
-6,2,8,18,19,15,23,35,23,16,14,-8
-4,1,12,20,23,17,23,25,24,13,13,1
-5,1,13,23,23,23,24,26,22,13,5,4
-4,2,11,23,24,22,26,29,22,8,11,4
-6,2,11,22,25,16,26,30,26,10,2,2
3,3,8,18,23,20,29,22,26,8,0,-4
2,2,4,21,20,20,32,14,25,8,1,-8
1,5,1,19,13,24,33,14,15,3,-1,-4
-2,6,4,13,15,24,36,22,15,7,-2,-6
1,7,6,13,18,24,35,24,20,6,-2,-10
-3,2,4,20,20,28,36,24,16,7,-1,-4
-7,1,6,25,17,29,36,27,14,5,1,-1
-6,0,-2,16,16,26,21,27,13,4,2,0
-4,-0,-1,14,13,28,23,29,11,4,1,0
-10,2,1,9,16,29,22,28,13,5,1,-1
-11,6,7,14,21,28,18,30,12,9,-1,-1
-10,10,4,13,20,28,22,32,13,7,-1,-3
-12,6,3,18,19,27,25,28,16,5,-1,1
-13,3,1,18,23,29,27,19,14,5,-1,-0
-9,4,5,15,25,30,29,23,11,5,1,0
-1,2,5,15,25,31,30,26,13,4,3,2
3,4,2,16,24,31,32,30,13,5,2,1
3,4,6,19,27,26,31,30,11,7,-1,-0
2,,9,14,23,26,31,31,17,5,-8,-3
2,,9,,26,,29,19,,2,,-2
