january,february,march,april,may,june,july,august,september,october,november,december
-9,5,9,23,19,23,29,34,25,23,2,0
-15,5,10,7,20,19,30,30,27,22,5,-1
-15,9,7,13,21,22,30,23,27,23,10,-1
-13,4,2,17,20,23,22,27,28,23,5,-1
-9,2,6,18,22,25,26,28,31,15,6,-4
-7,1,6,20,19,22,28,31,30,14,13,-0
-4,2,15,26,18,17,23,28,28,15,18,-2
-4,2,15,25,19,18,23,25,29,8,5,4
2,3,13,24,21,22,26,26,27,12,6,5
-1,5,14,23,22,23,22,30,27,11,6,7
0,4,6,18,20,21,26,31,28,13,5,7
3,8,9,22,17,18,30,16,30,10,7,7
3,2,7,18,22,15,30,20,29,5,5,-5
3,7,3,21,20,24,32,24,24,9,1,-2
0,9,3,15,22,23,32,25,22,4,-1,-2
2,9,9,19,18,26,31,21,26,8,-2,-7
-3,5,6,24,13,29,35,25,23,8,2,-3
-8,5,9,26,16,30,27,23,19,9,8,-2
-5,5,4,16,17,26,23,26,19,8,7,1
-6,-0,8,12,20,30,25,28,13,8,3,1
-4,1,7,8,22,32,22,30,14,5,0,-1
-6,13,9,19,22,32,21,32,13,10,0,3
-7,15,8,16,23,30,25,33,15,7,0,-1
-9,11,5,20,23,28,27,23,17,9,-1,1
-4,6,2,20,23,29,29,24,16,8,2,1
-4,5,7,11,22,30,30,26,14,4,4,3
3,4,10,15,23,31,31,28,16,7,4,4
7,6,10,20,23,30,32,31,15,6,2,2
5,7,15,21,25,26,34,32,21,11,0,-0
6,,12,22,22,28,29,33,25,6,-3,-1
4,,19,,25,,31,22,,5,,0
