january,february,march,april,may,june,july,august,september,october,november,december
-9,4,14,21,18,22,29,33,24,22,4,-3
-11,4,14,11,21,22,30,35,26,24,4,0
-13,7,11,12,21,24,32,34,28,25,9,1
-11,5,8,15,19,24,31,31,30,19,7,-2
-6,3,8,17,21,26,25,32,30,19,7,-5
-6,3,7,19,19,24,26,36,31,20,10,1
1,4,10,21,19,18,27,37,27,22,18,-1
3,4,14,25,21,18,25,31,29,18,14,1
0,3,16,26,24,21,26,33,25,15,16,4
0,6,10,24,23,22,28,36,27,15,15,5
2,5,10,22,19,24,28,36,26,16,6,5
8,4,9,23,18,21,31,34,29,12,10,6
7,5,11,23,21,25,33,19,30,7,7,-4
3,12,4,20,24,29,36,20,24,9,6,-2
2,11,5,20,23,25,37,28,19,8,2,0
3,17,8,18,22,27,38,28,23,8,2,-5
2,5,6,23,22,30,40,32,23,9,-0,-4
3,5,9,28,18,31,38,32,20,9,1,-3
-3,0,6,20,18,31,26,31,20,9,-0,-2
-2,2,6,14,19,33,26,34,13,9,1,0
0,3,8,12,23,32,27,35,13,8,5,-5
-4,9,11,17,25,33,25,38,16,11,4,-2
-8,13,12,18,23,32,27,37,17,10,5,-3
-11,8,14,22,23,30,27,28,16,12,-3,-1
-10,7,9,21,25,32,29,26,18,7,0,-2
-6,7,2,18,25,33,31,21,12,8,2,-1
0,9,5,16,24,34,32,30,15,7,7,1
3,6,6,18,27,34,32,32,15,6,7,2
5,6,13,21,23,28,33,35,14,8,1,1
5,,14,20,26,27,33,36,18,7,-1,-1
5,,12,,26,,33,25,,6,,-5
