january,february,march,april,may,june,july,august,september,october,november,december
-9,5.0,7,20.0,21,25.0,32,32,25.0,25,1.0,1
-14,8.0,6,9.0,20,21.0,32,26,28.0,24,6.0,-1
-14,9.0,4,13.0,21,23.0,30,25,26.0,23,7.0,1
-13,4.0,1,18.0,22,25.0,24,29,28.0,19,4.0,-3
-8,3.0,8,20.0,23,25.0,23,30,29.0,13,6.0,-2
-6,2.0,11,24.0,20,19.0,28,31,28.0,12,10.0,0
-4,4.0,14,18.0,14,17.0,19,24,27.0,11,13.0,-3
-3,4.0,15,25.0,20,21.0,22,26,28.0,11,7.0,5
1,5.0,9,22.0,21,24.0,24,27,26.0,10,6.0,6
0,5.0,14,23.0,22,22.0,23,29,28.0,8,5.0,8
0,5.0,6,22.0,22,22.0,28,23,30.0,9,4.0,8
4,8.0,11,21.0,19,20.0,33,20,31.0,10,3.0,5
3,3.0,6,18.0,22,22.0,31,22,29.0,7,-1.0,-4
1,4.0,4,21.0,20,23.0,32,25,23.0,11,1.0,-1
0,11.0,2,12.0,17,23.0,26,23,22.0,4,2.0,-1
1,9.0,7,18.0,13,26.0,29,22,26.0,10,-4.0,-5
-6,5.0,7,25.0,16,30.0,34,24,23.0,9,-1.0,-1
-7,3.0,8,20.0,14,28.0,21,23,19.0,9,4.0,-2
-4,5.0,0,16.0,15,28.0,23,26,19.0,8,7.0,1
-4,0.0,6,17.0,18,30.0,22,28,14.0,7,6.0,2
-5,2.0,7,10.0,22,32.0,16,28,14.0,6,1.0,1
-7,12.0,7,17.0,22,29.0,22,30,14.0,10,1.0,0
-6,12.0,6,15.0,23,30.0,26,31,14.0,7,2.0,1
-9,5.0,2,18.0,23,30.0,28,25,20.0,8,2.0,1
0,5.0,2,20.0,21,30.0,29,26,16.0,8,3.0,2
0,5.0,9,7.0,25,31.0,30,27,16.0,6,3.0,3
4,4.0,9,16.0,25,31.0,31,30,12.0,5,7.0,4
8,4.0,11,20.0,27,30.0,32,32,17.0,7,2.0,3
6,7.0,13,20.0,26,28.0,33,32,20.0,8,-1.0,0
8,,14,22.0,25,30.0,28,27,27.0,5,0.0,-1
4,,16,,25,,30,23,,4,,4
